Times,CPU Temperature (°„C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°„C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1724,45,1.49,115,1.72,70,94,110,103.4,105.12
1725,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1726,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1727,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1728,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1729,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1730,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1731,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1732,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1733,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1734,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1735,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1736,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1737,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1738,45,1.49,115,1.72,66,2,110,2.2,3.92
1739,45,1.49,115,1.72,65,0,110,0,1.72
1740,45,1.49,115,1.72,65,11,110,12.1,13.82
1741,45,1.49,115,1.72,74,92,111.89,102.93,104.65
1742,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1743,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1744,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1745,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1746,45,1.49,115,1.72,73,95,111.41,105.84,107.56
1747,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1748,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1749,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1750,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1751,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1752,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1753,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1754,45,1.49,115,1.72,66,0,110,0,1.72
1755,45,1.49,115,1.72,65,1,110,1.1,2.82
1756,45,1.49,115,1.72,64,12,110,13.2,14.92
