Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1134,27.8,2.37,125,2.97,71,78,351.5,274.17,277.14
1135,27.8,2.37,125,2.97,71,81,351.5,284.71,287.68
1136,27.8,2.37,125,2.97,71,69,351.5,242.53,245.5
1137,27.8,2.37,125,2.97,72,78,353,275.34,278.31
1138,27.8,2.37,125,2.97,72,84,353,296.52,299.49
1139,27.8,2.37,125,2.97,72,80,353,282.4,285.37
1140,27.8,2.37,125,2.97,69,21,350,73.5,76.47
1141,27.8,2.37,125,2.97,69,0,350,0,2.97
1142,27.8,2.37,125,2.97,67,7,350,24.5,27.47
1143,27.8,2.37,125,2.97,67,7,350,24.5,27.47
1144,27.8,2.37,125,2.97,70,77,350,269.5,272.47
1145,27.8,2.37,125,2.97,68,6,350,21,23.97
1146,27.8,2.37,125,2.97,70,56,350,196,198.97
1147,27.8,2.37,125,2.97,70,80,350,280,282.97
1148,27.8,2.37,125,2.97,69,2,350,7,9.97
1149,27.8,2.37,125,2.97,69,4,350,14,16.97
1150,27.8,2.37,125,2.97,71,80,351.5,281.2,284.17
1151,27.8,2.37,125,2.97,71,79,351.5,277.69,280.66
1152,27.8,2.37,125,2.97,71,55,351.5,193.32,196.29
1153,27.8,2.37,125,2.97,70,47,350,164.5,167.47
1154,27.8,2.37,125,2.97,71,75,351.5,263.62,266.59
1155,27.8,2.37,125,2.97,71,19,351.5,66.78,69.75
1156,27.8,2.37,125,2.97,72,75,353,264.75,267.72
1157,27.8,2.37,125,2.97,69,0,350,0,2.97
1158,27.8,2.37,125,2.97,69,0,350,0,2.97
1159,27.8,2.37,125,2.97,67,0,350,0,2.97
1160,27.8,2.37,125,2.97,67,0,350,0,2.97
1161,27.8,2.37,125,2.97,67,0,350,0,2.97
1162,27.8,2.37,125,2.97,66,0,350,0,2.97
1163,27.8,2.37,125,2.97,66,0,350,0,2.97
1164,27.8,2.37,125,2.97,66,0,350,0,2.97
1165,27.8,2.37,125,2.97,66,0,350,0,2.97
1166,27.8,2.37,125,2.97,66,0,350,0,2.97
1167,27.8,2.37,125,2.97,65,0,350,0,2.97
1168,27.8,2.37,125,2.97,70,79,350,276.5,279.47
1169,27.8,2.37,125,2.97,70,83,350,290.5,293.47
1170,27.8,2.37,125,2.97,71,80,351.5,281.2,284.17
1171,27.8,2.37,125,2.97,71,79,351.5,277.69,280.66
1172,27.8,2.37,125,2.97,71,77,351.5,270.65,273.62
1173,27.8,2.37,125,2.97,72,79,353,278.87,281.84
1174,27.8,2.37,125,2.97,72,83,353,292.99,295.96
1175,27.8,2.37,125,2.97,72,80,353,282.4,285.37
1176,27.8,2.37,125,2.97,70,28,350,98,100.97
1177,27.8,2.37,125,2.97,69,0,350,0,2.97
1178,27.8,2.37,125,2.97,67,7,350,24.5,27.47
1179,27.8,2.37,125,2.97,67,7,350,24.5,27.47
1180,27.8,2.37,125,2.97,70,65,350,227.5,230.47
1181,27.8,2.37,125,2.97,68,2,350,7,9.97
1182,27.8,2.37,125,2.97,68,2,350,7,9.97
1183,27.8,2.37,125,2.97,71,81,351.5,284.71,287.68
1184,27.8,2.37,125,2.97,69,32,350,112,114.97
1185,27.8,2.37,125,2.97,71,78,351.5,274.17,277.14
1186,27.8,2.37,125,2.97,70,13,350,45.5,48.47
1187,27.8,2.37,125,2.97,72,80,353,282.4,285.37
1188,27.8,2.37,125,2.97,69,3,350,10.5,13.47
1189,27.8,2.37,125,2.97,72,80,353,282.4,285.37
1190,27.8,2.37,125,2.97,69,5,350,17.5,20.47
1191,27.8,2.37,125,2.97,71,79,351.5,277.69,280.66
1192,27.8,2.37,125,2.97,72,76,353,268.28,271.25
1193,27.8,2.37,125,2.97,70,0,350,0,2.97
1194,27.8,2.37,125,2.97,69,0,350,0,2.97
1195,27.8,2.37,125,2.97,67,0,350,0,2.97
1196,27.8,2.37,125,2.97,67,0,350,0,2.97
1197,27.8,2.37,125,2.97,67,0,350,0,2.97
1198,27.8,2.37,125,2.97,66,0,350,0,2.97
1199,27.8,2.37,125,2.97,66,0,350,0,2.97
1200,27.8,2.37,125,2.97,66,0,350,0,2.97
1201,27.8,2.37,125,2.97,66,0,350,0,2.97
1202,27.8,2.37,125,2.97,66,0,350,0,2.97
1203,27.8,2.37,125,2.97,66,0,350,0,2.97
1204,27.8,2.37,125,2.97,65,0,350,0,2.97
1205,27.8,2.37,125,2.97,65,0,350,0,2.97
1206,27.8,2.37,125,2.97,65,0,350,0,2.97
1207,27.8,2.37,125,2.97,65,0,350,0,2.97
1208,27.8,2.37,125,2.97,65,0,350,0,2.97
1209,27.8,2.37,125,2.97,65,0,350,0,2.97
1210,27.8,2.37,125,2.97,62,0,350,0,2.97
1211,27.8,2.37,125,2.97,63,0,350,0,2.97
1212,27.8,2.37,125,2.97,61,0,350,0,2.97
1213,27.8,2.37,125,2.97,61,0,350,0,2.97
1214,27.8,2.37,125,2.97,61,0,350,0,2.97
